objectid,objecttype,attributeid,attributetype
chndm_1896-1-103,object,1600s,date
chndm_1896-1-103,object,1700s,date
chndm_1896-1-119,object,1700s,date
chndm_1896-1-119,object,1720s,date
chndm_1896-1-25,object,1600s,date
chndm_1896-1-25,object,1700s,date
chndm_1896-1-34,object,1600s,date
chndm_1896-1-34,object,1700s,date
chndm_1896-1-58,object,1600s,date
chndm_1896-1-58,object,1700s,date
chndm_1896-1-87,object,1600s,date
chndm_1896-1-87,object,1700s,date
chndm_1896-16-19,object,1850s,date
chndm_1896-16-19,object,1860s,date
chndm_1896-16-9,object,1840s,date
chndm_1896-17-28,object,1850s,date
chndm_1896-17-28,object,1900s,date
chndm_1896-2-41,object,1700s,date
chndm_1896-2-41,object,1800s,date
chndm_1896-3-190,object,1630s,date
chndm_1896-3-190,object,1640s,date
chndm_1896-3-216,object,1660s,date
chndm_1896-3-23,object,1400s,date
chndm_1896-3-23,object,1500s,date
chndm_1896-3-24,object,1400s,date
chndm_1896-3-24,object,1500s,date
chndm_1896-3-281,object,1760s,date
chndm_1896-3-281,object,1770s,date
chndm_1896-3-347,object,1730s,date
chndm_1896-3-347,object,1780s,date
chndm_1896-3-358,object,1780s,date
chndm_1896-3-87,object,1550s,date
chndm_1896-3-90,object,1600s,date
chndm_1896-4-4,object,1800s,date
chndm_1896-4-4,object,1820s,date
chndm_1897-8-140,object,1600s,date
chndm_1897-8-140,object,1620s,date
chndm_1897-8-189,object,1600s,date
chndm_1897-8-189,object,1700s,date
chndm_1897-8-242,object,1700s,date
chndm_1897-8-242,object,1800s,date
chndm_1897-8-50,object,1800s,date
chndm_1897-8-50,object,1900s,date
chndm_1897-9-8,object,1770s,date
chndm_1897-9-8,object,1780s,date
chndm_1898-18-2,object,1800s,date
chndm_1898-18-2,object,1900s,date
chndm_1898-21-5-e,object,1780s,date
chndm_1898-6-73,object,1860s,date
chndm_1899-17-1-d,object,1600s,date
chndm_1899-17-1-d,object,1690s,date
chndm_1899-2-7,object,1750s,date
chndm_1899-2-7,object,1790s,date
chndm_1900-25-9,object,1770s,date
chndm_1900-25-9,object,1800s,date
chndm_1900-4-2,object,1800s,date
chndm_1900-4-2,object,1900s,date
chndm_1901-30-33,object,1740s,date
chndm_1901-30-33,object,1750s,date
chndm_1901-39-1063,object,1850s,date
chndm_1901-39-1073,object,1800s,date
chndm_1901-39-1251,object,1820s,date
chndm_1901-39-1251,object,1850s,date
chndm_1901-39-1258,object,1770s,date
chndm_1901-39-1258,object,1800s,date
chndm_1901-39-1270,object,1800s,date
chndm_1901-39-1270,object,1820s,date
chndm_1901-39-1361,object,1800s,date
chndm_1901-39-1361,object,1810s,date
chndm_1901-39-1392,object,1780s,date
chndm_1901-39-1392,object,1790s,date
chndm_1901-39-1541,object,1790s,date
chndm_1901-39-1541,object,1800s,date
chndm_1901-39-1549,object,1790s,date
chndm_1901-39-1549,object,1800s,date
chndm_1901-39-1593,object,1770s,date
chndm_1901-39-1593,object,1800s,date
chndm_1901-39-1702,object,1690s,date
chndm_1901-39-1718,object,1720s,date
chndm_1901-39-1718,object,1770s,date
chndm_1901-39-1760,object,1600s,date
chndm_1901-39-1760,object,1620s,date
chndm_1901-39-1809,object,1650s,date
chndm_1901-39-1809,object,1670s,date
chndm_1901-39-1925,object,1800s,date
chndm_1901-39-1987,object,1770s,date
chndm_1901-39-1987,object,1800s,date
chndm_1901-39-2056,object,1780s,date
chndm_1901-39-2179,object,1770s,date
chndm_1901-39-2179,object,1790s,date
chndm_1901-39-2217,object,1720s,date
chndm_1901-39-2217,object,1750s,date
chndm_1901-39-2466,object,1810s,date
chndm_1901-39-2466,object,1820s,date
chndm_1901-39-2482,object,1590s,date
chndm_1901-39-2489,object,1810s,date
chndm_1901-39-2673,object,1580s,date
chndm_1901-39-2673,object,1590s,date
chndm_1901-39-2681,object,1570s,date
chndm_1901-39-2681,object,1590s,date
chndm_1901-39-2773,object,1850s,date
chndm_1901-39-2773,object,1900s,date
chndm_1901-39-2782,object,1720s,date
chndm_1901-39-2782,object,1770s,date
